iter	MAPE	RMSE	R2	MAE
0	2.539670216	3753319.55	0.01965413276	2669719.859
1	2.512182859	3715663.785	0.03922640318	2639229.974
2	2.485220256	3678200.815	0.05850262588	2608762.574
3	2.45918325	3640693.577	0.07760594398	2579060.785
4	2.434290184	3605740.221	0.09523225597	2551339.475
5	2.409012475	3569605.875	0.1132753614	2522311.439
6	2.383219486	3533934.229	0.1309091745	2494069.058
7	2.357461353	3499588.35	0.1477202601	2466400.027
8	2.33433885	3465172.831	0.1644007497	2439739.663
9	2.309394372	3432193.612	0.1802304213	2413428.317
10	2.285320473	3399183.92	0.1959231332	2387422.272
11	2.26230146	3367600.203	0.2107959695	2362333.315
12	2.236673731	3335784.169	0.2256378323	2337200.226
13	2.214570686	3305377.278	0.2396906786	2312980.21
14	2.192786667	3274237.508	0.2539488588	2287838.325
15	2.17108721	3243981.381	0.267673169	2264051.271
16	2.14729942	3212880.677	0.2816477874	2239244.656
17	2.12476446	3182625.54	0.2951132816	2216080.071
18	2.101588675	3152294.533	0.3084846609	2191518.661
19	2.078703999	3122102.874	0.3216674479	2167029.055
20	2.056449963	3092577.931	0.3344364259	2142981.33
21	2.036580614	3064674.501	0.3463926156	2121635.279
22	2.015630267	3036515.142	0.358348605	2099942.161
23	1.995473502	3008186.467	0.370265123	2077936.538
24	1.975652129	2983007.65	0.3807628907	2058100.315
25	1.956309918	2956528.314	0.3917076912	2036607.007
26	1.937248993	2929426.523	0.4028087182	2015404.383
27	1.916998381	2903064.628	0.413508599	1993652.569
28	1.898767745	2878570.444	0.4233637188	1974404.098
29	1.879745972	2852009.347	0.4339560806	1953767.929
30	1.860068198	2827109.686	0.4437967047	1934200.04
31	1.840194118	2802155.427	0.4535723316	1914274.604
32	1.82252774	2778505.663	0.4627569415	1895300.766
33	1.805442431	2755333.332	0.4716806313	1876823.096
34	1.787450529	2731260.034	0.4808721361	1857404.877
35	1.768884077	2707136.441	0.4900019326	1838805.096
36	1.749554383	2683446.681	0.498888717	1820288.481
37	1.732772721	2660814.337	0.5073058744	1802285.901
38	1.717434456	2638351.107	0.5155896423	1785567.016
39	1.699740234	2617316.584	0.5232828736	1768930.742
40	1.681875789	2595434.499	0.5312207428	1752177.358
41	1.665854409	2573621.306	0.5390672919	1735985.144
42	1.648690484	2551158.483	0.5470783115	1718827.887
43	1.631832658	2530438.58	0.55440548	1703929.832
44	1.616481923	2511392.873	0.5610878982	1689149.811
45	1.601144502	2489829.807	0.5685926261	1672862.061
46	1.584881731	2468858.766	0.5758292343	1655775.204
47	1.568513925	2449507.806	0.5824524922	1640517.373
48	1.554358946	2430209.05	0.5890059752	1626506.223
49	1.540245404	2410613.757	0.5956071189	1611760.88
50	1.526097421	2391600.753	0.601961021	1597488.156
51	1.512053203	2373590.195	0.6079335149	1583682.131
52	1.496281514	2354998.838	0.6140512534	1568772.357
53	1.481672345	2336710.364	0.6200223871	1554677.702
54	1.468379331	2319403.53	0.6256301478	1541267.553
55	1.455202896	2303338.593	0.6307982003	1528905.154
56	1.440429859	2285776.741	0.6364067108	1515208.173
57	1.426579911	2268593.111	0.641852884	1501556.268
58	1.414638621	2252323.644	0.6469714474	1489674.152
59	1.401615704	2235576.221	0.6522019012	1476228.38
60	1.388681934	2220056.691	0.6570140188	1463968.217
