iter	Passed	Remaining
0	13	131113
1	17	86539
2	21	72192
3	25	63366
4	29	58785
5	32	54951
6	37	54247
7	41	52345
8	46	52140
9	55	55235
10	59	53938
11	62	52397
12	66	51435
13	73	52773
14	77	51744
15	81	50797
16	86	50521
17	90	50064
18	94	49456
19	97	48781
20	103	49022
21	108	49169
22	114	49453
23	119	49875
24	124	49803
25	129	49720
26	135	49920
27	141	50559
28	153	52829
29	161	53632
30	167	54011
31	172	53630
32	175	53082
33	180	52839
34	184	52493
35	187	52021
36	191	51594
37	197	51875
38	203	51862
39	208	51841
40	215	52319
41	224	53259
42	230	53433
43	235	53271
44	240	53176
45	245	53130
46	250	52980
47	253	52612
48	258	52454
49	266	53102
50	279	54428
51	282	54083
52	286	53759
53	290	53414
54	295	53419
55	299	53156
56	303	52862
57	306	52612
58	310	52343
59	314	52086
60	318	51891
61	322	51706
62	325	51383
63	329	51143
64	332	50850
65	335	50570
66	339	50375
67	342	50090
68	346	49812
69	349	49546
70	352	49257
71	356	49091
72	359	48902
73	363	48691
74	366	48453
75	369	48231
76	373	48124
77	378	48139
78	381	47910
79	384	47703
80	388	47603
81	392	47455
82	395	47276
83	398	47074
84	401	46885
85	405	46736
86	408	46536
87	411	46341
88	414	46163
89	417	45986
90	421	45943
91	424	45769
92	428	45612
93	431	45452
94	434	45333
95	438	45190
96	441	45050
97	444	44890
98	447	44756
99	451	44674
100	454	44565
101	458	44446
102	461	44327
103	464	44192
104	468	44138
105	471	44010
106	474	43885
107	477	43764
108	481	43718
109	486	43703
110	489	43625
111	493	43604
112	499	43664
113	505	43817
114	509	43757
115	512	43698
116	517	43685
117	521	43639
118	524	43523
119	527	43428
120	531	43383
121	534	43275
122	537	43164
123	540	43058
124	543	42974
125	548	42965
126	551	42891
127	554	42799
128	558	42702
129	561	42618
130	564	42554
131	568	42462
132	571	42381
133	574	42290
134	577	42215
135	580	42135
136	584	42051
137	587	41991
138	590	41898
139	594	41838
140	597	41764
141	600	41695
142	603	41605
143	606	41522
144	609	41456
145	613	41385
146	616	41315
147	619	41231
148	622	41162
149	626	41113
150	629	41043
151	632	40974
152	635	40900
153	638	40830
154	642	40780
155	645	40721
156	648	40656
157	651	40586
158	654	40521
159	658	40468
160	661	40420
161	664	40361
162	667	40297
163	670	40232
164	673	40173
165	677	40134
166	680	40076
167	683	40010
168	686	39952
169	690	39899
170	693	39839
171	696	39786
172	699	39730
173	702	39668
174	705	39625
175	709	39582
176	712	39531
177	715	39471
178	718	39409
179	721	39384
180	725	39334
181	728	39279
182	731	39234
183	734	39178
184	737	39144
185	741	39105
186	744	39057
187	747	39017
188	750	38976
189	755	38983
190	758	38938
191	761	38891
192	764	38840
193	767	38806
194	772	38829
195	775	38815
196	780	38826
197	784	38812
198	788	38829
199	793	38871
200	796	38835
201	799	38799
202	804	38802
203	807	38751
204	810	38709
205	813	38680
206	817	38659
207	820	38622
208	823	38578
209	826	38531
210	829	38499
211	833	38468
212	836	38427
213	839	38387
214	842	38353
215	846	38346
216	851	38373
217	855	38380
218	858	38364
219	863	38393
220	869	38463
221	873	38481
222	878	38520
223	883	38554
224	888	38581
225	892	38596
226	897	38640
227	901	38632
228	906	38699
229	911	38722
230	935	39581
231	940	39595
232	946	39686
233	952	39762
234	959	39870
235	968	40073
236	979	40352
237	987	40506
238	1003	41002
239	1012	41194
240	1020	41330
241	1029	41522
242	1045	41991
243	1071	42858
244	1086	43241
245	1094	43406
246	1121	44277
247	1133	44562
248	1149	44998
249	1155	45072
250	1166	45320
251	1176	45512
252	1189	45820
253	1197	45948
254	1204	46028
255	1211	46105
256	1218	46201
257	1226	46324
258	1234	46421
259	1243	46577
260	1248	46601
261	1259	46808
262	1271	47057
263	1279	47171
264	1287	47309
265	1295	47400
266	1307	47651
267	1313	47698
268	1323	47869
269	1331	47987
270	1340	48136
271	1350	48285
272	1356	48339
273	1362	48374
274	1370	48458
275	1378	48556
276	1384	48595
277	1388	48548
278	1392	48521
279	1396	48491
280	1402	48495
281	1406	48468
282	1411	48462
283	1416	48449
284	1421	48449
285	1427	48493
286	1434	48546
287	1440	48560
288	1446	48606
289	1453	48678
290	1460	48721
291	1472	48954
292	1480	49039
293	1485	49042
294	1490	49046
295	1496	49059
296	1501	49044
297	1506	49057
298	1513	49111
299	1519	49117
300	1524	49134
301	1530	49139
302	1534	49104
303	1538	49064
304	1545	49123
305	1549	49085
306	1560	49258
307	1563	49211
308	1567	49149
309	1570	49084
310	1575	49089
311	1578	49022
312	1581	48958
313	1584	48891
314	1589	48864
315	1592	48810
316	1596	48752
317	1599	48692
318	1602	48634
319	1606	48585
320	1609	48523
321	1612	48456
322	1615	48392
323	1618	48332
324	1622	48287
325	1625	48225
326	1628	48162
327	1631	48100
328	1635	48078
329	1639	48053
330	1643	48019
331	1647	47987
332	1652	47981
333	1670	48338
334	1675	48329
335	1678	48269
